DATASET_NAME,SOURCE,SENSOR,PARAMETER,PROJ_NAME,SDPN,DS_SHORT_NAME,TOPIC,TERM,SOURCE_TYPE
CAMEX-4 HIGH ALTITUDE MMIC SOUNDING RADIOMETER (HAMSR),NASA ER-2,HAMSR,AIR TEMPERATURE,CAMEX-4,,c4ehamsr,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,AIRCRAFT
CAMEX-4 HIGH ALTITUDE MMIC SOUNDING RADIOMETER (HAMSR),NASA ER-2,HAMSR,WATER VAPOR,CAMEX-4,,c4ehamsr,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,AIRCRAFT
CAMEX-4 HIGH ALTITUDE MMIC SOUNDING RADIOMETER (HAMSR),NASA ER-2,HAMSR,CLOUD LIQUID WATER/ICE,CAMEX-4,,c4ehamsr,ATMOSPHERE,CLOUDS,AIRCRAFT
CAMEX-4 MISSION REPORTS,MISSION REPORTS,HUMAN OBSERVER,HURRICANES,CAMEX-4,,c4gmisrep,ATMOSPHERE,ATMOSPHERIC PHENOMENA,MAP/CHART/MODEL
CAMEX-4 NOAA WP-3D VIDEO,NOAA WP-3D ORION,VIDEO CAMERA,VISIBLE IMAGERY,CAMEX-4,,c4p3vid,SPECTRAL/ENGINEERING,VISIBLE WAVELENGTHS,AIRCRAFT
CAMEX-4 NOAA WP-3D FLIGHT LEVEL DATA,NOAA WP-3D ORION,GPS,UPPER LEVEL WINDS,CAMEX-4,,c4p3flt,ATMOSPHERE,ATMOSPHERIC WINDS,AIRCRAFT
CAMEX-4 NOAA WP-3D FLIGHT LEVEL DATA,NOAA WP-3D ORION,TEMPERATURE PROBES,AIR TEMPERATURE,CAMEX-4,,c4p3flt,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,AIRCRAFT
CAMEX-4 NOAA WP-3D FLIGHT LEVEL DATA,NOAA WP-3D ORION,DEWPOINT HYDROMETER,DEW POINT TEMPERATURE,CAMEX-4,,c4p3flt,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,AIRCRAFT
AMSU/MSU MIDTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,TIROS-N,MSU,AIR TEMPERATURE,N/A,,msut2,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
CAMEX-4 MIPS SURFACE STATION 1,MIPS,HYGROMETER,HUMIDITY,CAMEX-4,,c4gmipss1,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,IN SITU LAND BASED
VAISALA US NLDN LIGHTNING FLASH DATA,NATIONAL LIGHTNING DETECTION NETWORK,RF ANTENNA,LIGHTNING,LIS,,vaiconus,ATMOSPHERE,ATMOSPHERIC ELECTRICITY,GROUND BASED NETWORK
CAMEX-4 ER-2 HIGH ALTITUDE DROPSONDE,NASA ER-2,DROPWINDSONDES,UPPER LEVEL WINDS,CAMEX-4,M-298,c4eehad,ATMOSPHERE,ATMOSPHERIC WINDS,AIRCRAFT
ADVANCED MICROWAVE SOUNDING UNIT-A (AMSU-A) SWATH FROM NOAA-16,NOAA-16,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,amsua16sp,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
LIS/OTD 0.5 DEGREE HIGH RESOLUTION FULL CLIMATOLOGY (HRFC),MICROLAB-1,OTD,LIGHTNING,TRMM,M-288,lohrfc,ATMOSPHERE,ATMOSPHERIC ELECTRICITY,SATELLITE
CAMEX-4 MIPS SURFACE STATION 2,GROUND STATIONS,ANEMOMETER,SURFACE WINDS,CAMEX-4,,c4gmipss2,ATMOSPHERE,ATMOSPHERIC WINDS,IN SITU LAND BASED
CAMEX-4 MIPS SURFACE STATION 2,GROUND STATIONS,PYRANOMETERS,SOLAR RADIATION,CAMEX-4,,c4gmipss2,ATMOSPHERE,ATMOSPHERIC RADIATION,IN SITU LAND BASED
CAMEX-4 MIPS SODAR,GROUND STATIONS,SODAR,WIND PROFILES,CAMEX-4,,c4gmipsod,ATMOSPHERE,ATMOSPHERIC WINDS,IN SITU LAND BASED
CAMEX-3 SCANNING RAMAN LIDAR,GROUND-BASED OBSERVATIONS,SCANNING RAMAN LIDAR,AEROSOL BACKSCATTER,CAMEX-3,M-265,cmx3srl,ATMOSPHERE,AEROSOLS,IN SITU LAND BASED
OLS DIGITAL DERIVED LIGHTNING FROM DMSP F10,DMSP-F10,OLS,LIGHTNING,LIS,M-214,olsdig10,ATMOSPHERE,ATMOSPHERIC PHENOMENA,SATELLITE
OLS DIGITAL DERIVED LIGHTNING FROM DMSP F12,DMSP-F12,OLS,LIGHTNING,LIS,M-215,olsdig12,ATMOSPHERE,ATMOSPHERIC PHENOMENA,SATELLITE
LIGHTNING DETECTION AND RANGING (LDAR) RAW DATA,LIGHTNING DETECTION AND RANGING,RF ANTENNA,LIGHTNING,LIS,M-228,ldarraw,ATMOSPHERE,ATMOSPHERIC PHENOMENA,GROUND BASED NETWORK
OLS ANALOG DERIVED LIGHTNING,DMSP-F7,OLS,LIGHTNING,LIS,M-105,olsana,ATMOSPHERE,ATMOSPHERIC PHENOMENA,SATELLITE
OLS ANALOG DERIVED LIGHTNING,DMSP-F8,OLS,LIGHTNING,LIS,M-105,olsana,ATMOSPHERE,ATMOSPHERIC PHENOMENA,SATELLITE
OLS ANALOG DERIVED LIGHTNING,DMSP-F10,OLS,LIGHTNING,LIS,M-105,olsana,ATMOSPHERE,ATMOSPHERIC PHENOMENA,SATELLITE
OLS ANALOG DERIVED LIGHTNING,DMSP-F1,OLS,LIGHTNING,LIS,M-105,olsana,ATMOSPHERE,ATMOSPHERIC PHENOMENA,SATELLITE
OLS ANALOG DERIVED LIGHTNING,DMSP-5B-F3,OLS,LIGHTNING,LIS,M-105,olsana,ATMOSPHERE,ATMOSPHERIC PHENOMENA,SATELLITE
AMSU/MSU MIDTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,TIROS-N,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut2,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,TIROS-N,MSU,AIR TEMPERATURE,N/A,,msut2lt,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,TIROS-N,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut2lt,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,TIROS-N,MSU,AIR TEMPERATURE,N/A,,msut4,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,TIROS-N,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,msut4,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
CAMEX-4 NOAA WP-3D RADAR,NOAA WP-3D ORION,DOPPLER RADAR,RADAR REFLECTIVITY,CAMEX-4,,c4p3rad,SPECTRAL/ENGINEERING,RADAR,AIRCRAFT
CAMEX-4 NOAA WP-3D RADAR,NOAA WP-3D ORION,DOPPLER RADAR,DOPPLER VELOCITY,CAMEX-4,,c4p3rad,SPECTRAL/ENGINEERING,RADAR,AIRCRAFT
CAMEX-4 NASA PORTABLE S-BAND MULTIPARAMETER WX RESEARCH RADAR,GROUND STATIONS,NPOL RADAR,RADAR REFLECTIVITY,CAMEX-4,,c4gnpol,SPECTRAL/ENGINEERING,RADAR,IN SITU LAND BASED
CAMEX-4 NASA PORTABLE S-BAND MULTIPARAMETER WX RESEARCH RADAR,GROUND STATIONS,NPOL RADAR,DOPPLER VELOCITY,CAMEX-4,,c4gnpol,SPECTRAL/ENGINEERING,RADAR,IN SITU LAND BASED
CAMEX-4 TOGA RADAR,GROUND STATIONS,TOGA RADAR,RADAR REFLECTIVITY,CAMEX-4,,c4gtoga,SPECTRAL/ENGINEERING,RADAR,IN SITU LAND BASED
CAMEX-4 TOGA RADAR,GROUND STATIONS,TOGA RADAR,DOPPLER VELOCITY,CAMEX-4,,c4gtoga,SPECTRAL/ENGINEERING,RADAR,IN SITU LAND BASED
CAMEX-3 MISSION REPORTS,MISSION REPORTS,HUMAN OBSERVER,HURRICANES,CAMEX-3,,cmx3misrep,ATMOSPHERE,ATMOSPHERIC PHENOMENA,MAP/CHART/MODEL
LIS/OTD 2.5 DEGREE LOW RESOLUTION TIME SERIES (LRTS),TRMM,LIS,LIGHTNING,LIS,,lolrts,ATMOSPHERE,ATMOSPHERIC ELECTRICITY,SATELLITE
CAMEX-4 NOAA WP-3D CLOUD PHYSICS,NOAA WP-3D ORION,FSSP,DROPLET CONCENTRATION/SIZE,CAMEX-4,,c4p3cp,,,AIRCRAFT
CAMEX-4 NOAA WP-3D CLOUD PHYSICS,NOAA WP-3D ORION,HVPS,DROPLET SIZE,CAMEX-4,,c4p3cp,ATMOSPHERE,PRECIPITATION,AIRCRAFT
LIS/OTD 2.5 DEGREE LOW RESOLUTION TIME SERIES (LRTS),MICROLAB-1,OTD,LIGHTNING,LIS,,lolrts,ATMOSPHERE,ATMOSPHERIC ELECTRICITY,SATELLITE
LIS/OTD 2.5 DEGREE LOW RESOLUTION ANNUAL CLIMATOLOGY TIME SERIES,TRMM,LIS,LIGHTNING,LIS,,lolracts,ATMOSPHERE,ATMOSPHERIC ELECTRICITY,SATELLITE
LIS/OTD 2.5 DEGREE LOW RESOLUTION ANNUAL CLIMATOLOGY TIME SERIES,MICROLAB-1,OTD,LIGHTNING,LIS,,lolracts,ATMOSPHERE,ATMOSPHERIC ELECTRICITY,SATELLITE
ADVANCED MICROWAVE SOUNDING UNIT-A (AMSU-A) SWATH FROM NOAA-17,NOAA-17,AMSU-A,BRIGHTNESS TEMPERATURE,N/A,,amsua17sp,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
TRMM LBA (LARGE SCALE BIOSPHERE-ATMOSPHERE) EXPERIMENT (AMPR),NASA ER-2,AMPR,BRIGHTNESS TEMPERATURE,TRMM-LBA,M-255,amprtblba,SPECTRAL/ENGINEERING,MICROWAVE,AIRCRAFT
CAMEX-3 MACAWS,NASA DC-8,MACAWS,VERTICAL WIND MOTION,CAMEX-3,,dc8macaws,ATMOSPHERE,ATMOSPHERIC WINDS,AIRCRAFT
CAMEX-3 ATMOSPHERIC EMITTED RADIANCE INTERFEROMETER (AERI),GROUND STATIONS,AERI,AEROSOL PARTICLE PROPERTIES,CAMEX-3,,cmx3aeri,ATMOSPHERE,AEROSOLS,IN SITU LAND BASED
CAMEX-3 ATMOSPHERIC EMITTED RADIANCE INTERFEROMETER (AERI),GROUND STATIONS,AERI,EMISSIVITY,CAMEX-3,,cmx3aeri,ATMOSPHERE,ATMOSPHERIC RADIATION,IN SITU LAND BASED
CAMEX-3 ATMOSPHERIC EMITTED RADIANCE INTERFEROMETER (AERI),GROUND STATIONS,AERI,TEMPERATURE PROFILES,CAMEX-3, ,cmx3aeri,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,IN SITU LAND BASED
CAMEX-3 ATMOSPHERIC EMITTED RADIANCE INTERFEROMETER (AERI),GROUND STATIONS,AERI,WATER VAPOR PROFILES,CAMEX-3, ,cmx3aeri,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,IN SITU LAND BASED
VAISALA US NLDN LIGHTNING FLASH DATA,NATIONAL LIGHTNING DETECTION NETWORK,RF ANTENNA,LIGHTNING,LIS, ,vaiconus,ATMOSPHERE,ATMOSPHERIC PHENOMENA,GROUND BASED NETWORK
GAI LONG RANGE LIGHTNING NETWORK,NATIONAL LIGHTNING DETECTION NETWORK,RF ANTENNA,LIGHTNING,LIS VALIDATION,M-217,gailong,ATMOSPHERE,ATMOSPHERIC PHENOMENA,GROUND BASED NETWORK
GAI LIGHTNING GROUND STRIKES,NATIONAL LIGHTNING DETECTION NETWORK,RF ANTENNA,LIGHTNING,LIS VALIDATION,M-31,gdslightn,ATMOSPHERE,ATMOSPHERIC PHENOMENA,GROUND BASED NETWORK
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,TIROS-N,MSU,TEMPERATURE ANOMALIES,N/A, ,msut4,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
GOES WATER VAPOR TRANSPORT,GOES-8,GOES-8 IMAGER,UPPER LEVEL WINDS,N/A,M-261,goeswvt,ATMOSPHERE,ATMOSPHERIC WINDS,SATELLITE
AMSU/MSU MIDTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,TIROS-N,MSU,TEMPERATURE ANOMALIES,N/A, ,msut2,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU MIDTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,TIROS-N,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut2,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU LOWSTRAT DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,TIROS-N,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut4,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,TIROS-N,MSU,TEMPERATURE ANOMALIES,N/A, ,msut2lt,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,SATELLITE
AMSU/MSU LOWTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,TIROS-N,AMSU-A,BRIGHTNESS TEMPERATURE,N/A, ,msut2lt,SPECTRAL/ENGINEERING,MICROWAVE,SATELLITE
GPM GROUND VALIDATION UND CITATION NAVIGATION DATA GCPEX,UND CITATION II,GPS,ATTITUDE CHARACTERISTICS,GCPEX,,gpmnavcitgcpex,SPECTRAL/ENGINEERING,PLATFORM CHARACTERISTICS,AIRCRAFT
GPM GROUND VALIDATION UND CITATION NAVIGATION DATA GCPEX,UND CITATION II,GPS,DATA SYNCHRONIZATION TIME,GCPEX,,gpmnavcitgcpex,SPECTRAL/ENGINEERING,PLATFORM CHARACTERISTICS,AIRCRAFT
OPTICAL TRANSIENT DETECTOR (OTD) LIGHTNING,MICROLAB-1,OTD,LIGHTNING,MICROLAB-1,M-116,otdlip,ATMOSPHERE,ATMOSPHERIC PHENOMENA,SATELLITE
INFRARED GLOBAL GEOSTATIONARY COMPOSITE,GOES-11,GOES-11 IMAGER,INFRARED IMAGERY,N/A,,globalir,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
INFRARED GLOBAL GEOSTATIONARY COMPOSITE,GOES-12,GOES-12 IMAGER,INFRARED IMAGERY,N/A,,globalir,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
INFRARED GLOBAL GEOSTATIONARY COMPOSITE,METEOSAT-7,VISSR,INFRARED IMAGERY,N/A,,globalir,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
INFRARED GLOBAL GEOSTATIONARY COMPOSITE,METEOSAT-9,VISSR,INFRARED IMAGERY,N/A,,globalir,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
INFRARED GLOBAL GEOSTATIONARY COMPOSITE,MTSAT-1R,VISSR,INFRARED IMAGERY,N/A,,globalir,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
INFRARED GLOBAL GEOSTATIONARY COMPOSITE,NOAA-15,AVHRR,INFRARED IMAGERY,N/A,,globalir,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
INFRARED GLOBAL GEOSTATIONARY COMPOSITE,NOAA-16,AVHRR,INFRARED IMAGERY,N/A,,globalir,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
INFRARED GLOBAL GEOSTATIONARY COMPOSITE,NOAA-17,AVHRR,INFRARED IMAGERY,N/A,,globalir,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
TRMM MICROWAVE IMAGER (TMI) WENTZ OCEAN PRODUCTS,TRMM,TMI,SEA SURFACE TEMPERATURE,DISCOVER,M-248,tmiwop,OCEANS,OCEAN TEMPERATURE,SATELLITE
TRMM MICROWAVE IMAGER (TMI) WENTZ OCEAN PRODUCTS,TRMM,TMI,SURFACE WINDS,DISCOVER,M-248,tmiwop,OCEANS,OCEAN WINDS,SATELLITE
TRMM MICROWAVE IMAGER (TMI) WENTZ OCEAN PRODUCTS,TRMM,TMI,SURFACE WINDS,DISCOVER,M-248,tmiwop,ATMOSPHERE,ATMOSPHERIC WINDS,SATELLITE
CAMEX-4 MIPS MICROWAVE PROFILING RADIOMETER,MIPS,PYRANOMETERS,SOLAR RADIATION,CAMEX-4,,c4gmipmpr,ATMOSPHERE,ATMOSPHERIC RADIATION,IN SITU LAND BASED
CAMEX-4 MIPS MICROWAVE PROFILING RADIOMETER,MIPS,MICROWAVE RADIOMETER,TEMPERATURE PROFILES,CAMEX-4,,c4gmipmpr,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,IN SITU LAND BASED
CAMEX-4 MIPS MICROWAVE PROFILING RADIOMETER,GROUND STATIONS,MICROWAVE RADIOMETER,WATER VAPOR PROFILES,CAMEX-4,,c4gmipmpr,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,IN SITU LAND BASED
NAMMA NASA POLARIMETRIC DOPPLER WEATHER RADAR (NPOL),GROUND STATIONS,NPOL RADAR,DOPPLER VELOCITY,NAMMA,,namnpol,SPECTRAL/ENGINEERING,RADAR,IN SITU LAND BASED
TC4 COSTA RICA LIGHTNING,NATIONAL LIGHTNING DETECTION NETWORK,RF ANTENNA,LIGHTNING,TC4,,tc4crlit,ATMOSPHERE,ATMOSPHERIC ELECTRICITY,GROUND BASED NETWORK
US COMPOSITE LIGHTNING DAILY TOTAL FROM NATL LIGHTNING NETWORK,NATIONAL LIGHTNING DETECTION NETWORK,RF ANTENNA,LIGHTNING,LIS,M-127,daylightn,ATMOSPHERE,ATMOSPHERIC PHENOMENA,GROUND BASED NETWORK
US COMPOSITE LIGHTNING 15MIN TOTAL FROM NATL LIGHTNING NETWORK,NATIONAL LIGHTNING DETECTION NETWORK,RF ANTENNA,LIGHTNING,LIS,M-32,goodlitn,ATMOSPHERE,ATMOSPHERIC PHENOMENA,GROUND BASED NETWORK
TC4 COSTA RICA LIGHTNING,NATIONAL LIGHTNING DETECTION NETWORK,RF ANTENNA,LIGHTNING,TC4,,tc4crlit,ATMOSPHERE,ATMOSPHERIC PHENOMENA,GROUND BASED NETWORK
GPM GROUND VALIDATION UND CITATION NAVIGATION DATA GCPEX,UND CITATION II,ACCELEROMETER,TURBULENCE,GCPEX,,gpmnavcitgcpex,ATMOSPHERE,ATMOSPHERIC WINDS,AIRCRAFT
GPM GROUND VALIDATION UND CITATION NAVIGATION DATA GCPEX,UND CITATION II,ACCELEROMETER,ATMOSPHERIC PRESSURE MEASUREMENTS,GCPEX,,gpmnavcitgcpex,ATMOSPHERE,ATMOSPHERIC PRESSURE,AIRCRAFT
GPM GROUND VALIDATION NOAA S-BAND PROFILER ORIGINAL DWELL DATA MC3E,GROUND STATIONS,VERTICAL POINTING RADAR,MEAN RADIAL VELOCITY,MC3E,,gpmsbdorgmc3e,SPECTRAL/ENGINEERING,RADAR,IN SITU LAND BASED
GPM GROUND VALIDATION NOAA S-BAND PROFILER ORIGINAL DWELL DATA MC3E,GROUND STATIONS,VERTICAL POINTING RADAR,SPECTRUM WIDTH,MC3E,,gpmsbdorgmc3e,SPECTRAL/ENGINEERING,RADAR,IN SITU LAND BASED
GPM GROUND VALIDATION NOAA S-BAND PROFILER ORIGINAL DWELL DATA MC3E,GROUND STATIONS,VERTICAL POINTING RADAR,RADAR REFLECTIVITY,MC3E,,gpmsbdorgmc3e,SPECTRAL/ENGINEERING,RADAR,IN SITU LAND BASED
GPM GROUND VALIDATION NOAA S-BAND PROFILER ORIGINAL DWELL DATA MC3E,GROUND STATIONS,VERTICAL POINTING RADAR,DOPPLER VELOCITY,MC3E,,gpmsbdorgmc3e,SPECTRAL/ENGINEERING,RADAR,IN SITU LAND BASED
GPM GROUND VALIDATION UND CITATION NAVIGATION DATA GCPEX,UND CITATION II,GNSS,ATTITUDE CHARACTERISTICS,GCPEX,,gpmnavcitgcpex,SPECTRAL/ENGINEERING,PLATFORM CHARACTERISTICS,AIRCRAFT
GPM GROUND VALIDATION NCAR CLOUD MICROPHYSICS PARTICLE PROBES MC3E,UND CITATION II,2DC,CLOUD DROPLET/CONCENTRATION SIZE,MC3E,,gpmparprbmc3e,ATMOSPHERE,CLOUDS,AIRCRAFT
GPM GROUND VALIDATION NCAR CLOUD MICROPHYSICS PARTICLE PROBES MC3E,UND CITATION II,2DC,CLOUD DROPLET SIZE/DISTRIBUTION,MC3E,,gpmparprbmc3e,ATMOSPHERE,CLOUDS,AIRCRAFT
GPM GROUND VALIDATION NCAR CLOUD MICROPHYSICS PARTICLE PROBES MC3E,UND CITATION II,2DC,DROPLET SIZE,MC3E,,gpmparprbmc3e,ATMOSPHERE,PRECIPITATION,AIRCRAFT
GPM GROUND VALIDATION NCAR CLOUD MICROPHYSICS PARTICLE PROBES MC3E,UND CITATION II,CIP,CLOUD DROPLET/CONCENTRATION SIZE,MC3E,,gpmparprbmc3e,ATMOSPHERE,CLOUDS,AIRCRAFT
GPM GROUND VALIDATION NCAR CLOUD MICROPHYSICS PARTICLE PROBES MC3E,UND CITATION II,CIP,CLOUD DROPLET SIZE/DISTRIBUTION,MC3E,,gpmparprbmc3e,ATMOSPHERE,CLOUDS,AIRCRAFT
GPM GROUND VALIDATION NCAR CLOUD MICROPHYSICS PARTICLE PROBES MC3E,UND CITATION II,CIP,DROPLET SIZE,MC3E,,gpmparprbmc3e,ATMOSPHERE,PRECIPITATION,AIRCRAFT
GPM GROUND VALIDATION NCAR CLOUD MICROPHYSICS PARTICLE PROBES MC3E,UND CITATION II,CIP,CLOUD LIQUID WATER/ICE,MC3E,,gpmparprbmc3e,ATMOSPHERE,CLOUDS,AIRCRAFT
GPM GROUND VALIDATION NCAR CLOUD MICROPHYSICS PARTICLE PROBES MC3E,UND CITATION II,HVPS,CLOUD DROPLET/CONCENTRATION SIZE,MC3E,,gpmparprbmc3e,ATMOSPHERE,CLOUDS,AIRCRAFT
GPM GROUND VALIDATION NCAR CLOUD MICROPHYSICS PARTICLE PROBES MC3E,UND CITATION II,HVPS,CLOUD DROPLET SIZE/DISTRIBUTION,MC3E,,gpmparprbmc3e,ATMOSPHERE,CLOUDS,AIRCRAFT
GPM GROUND VALIDATION NCAR CLOUD MICROPHYSICS PARTICLE PROBES MC3E,UND CITATION II,HVPS,DROPLET SIZE,MC3E,,gpmparprbmc3e,ATMOSPHERE,PRECIPITATION,AIRCRAFT
GPM GROUND VALIDATION NCAR CLOUD MICROPHYSICS PARTICLE PROBES MC3E,UND CITATION II,HVPS,CLOUD LIQUID WATER/ICE,MC3E,,gpmparprbmc3e,ATMOSPHERE,CLOUDS,AIRCRAFT
GPM GROUND VALIDATION NOAA PARSIVEL MC3E,GROUND-BASED OBSERVATIONS,APU,RAIN,MC3E,,gpmpanoaamc3e,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION NOAA PARSIVEL MC3E,GROUND-BASED OBSERVATIONS,APU,DROPLET SIZE,MC3E,,gpmpanoaamc3e,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION NOAA PARSIVEL MC3E,GROUND-BASED OBSERVATIONS,APU,PRECIPITATION RATE,MC3E,,gpmpanoaamc3e,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION NOAA PARSIVEL MC3E,GROUND-BASED OBSERVATIONS,APU,PRECIPITATION AMOUNT,MC3E,,gpmpanoaamc3e,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION NOAA PARSIVEL MC3E,GROUND-BASED OBSERVATIONS,APU,RADAR REFLECTIVITY,MC3E,,gpmpanoaamc3e,SPECTRAL/ENGINEERING,RADAR,IN SITU LAND BASED
GPM GROUND VALIDATION FLIGHT SUMMARIES AND FLIGHT TRACKS IMAGERY MC3E,AIRCRAFT,RADAR,FLIGHT DATA LOGS,MC3E,,gpmfltsummc3e,SPECTRAL/ENGINEERING,PLATFORM CHARACTERISTICS,AIRCRAFT
GPM GROUND VALIDATION FLIGHT SUMMARIES AND FLIGHT TRACKS IMAGERY MC3E,FIXED OBSERVATION STATIONS,NEXRAD,RADAR IMAGERY,MC3E,,gpmfltsummc3e,SPECTRAL/ENGINEERING,RADAR,IN SITU LAND BASED
GPM GROUND VALIDATION FLIGHT SUMMARIES AND FLIGHT TRACKS IMAGERY MC3E,COMPUTERS,RTMM,RADAR IMAGERY,MC3E,,gpmfltsummc3e,SPECTRAL/ENGINEERING,RADAR,IN SITU LAND BASED
GPM GROUND VALIDATION FLIGHT SUMMARIES AND FLIGHT TRACKS IMAGERY MC3E,COMPUTERS,RTMM,FLIGHT TRACKS,MC3E,,gpmfltsummc3e,SPECTRAL/ENGINEERING,RADAR,IN SITU LAND BASED
CAMEX-4 MIPS SURFACE STATION 1,MIPS,RAIN GAUGES,PRECIPITATION AMOUNT,CAMEX-4,,c4gmipss1,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
CAMEX-4 MIPS SURFACE STATION 2,MIPS,RAIN GAUGES,PRECIPITATION RATE,CAMEX-4,,c4gmipss2,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
CAMEX-4 MIPS CEILOMETER,MIPS,CEILOMETERS,AEROSOL BACKSCATTER,CAMEX-4,,c4gmipclo,ATMOSPHERE,AEROSOLS,IN SITU LAND BASED
CAMEX-4 MIPS MICROWAVE PROFILING RADIOMETER,MIPS,MICROWAVE RADIOMETER,CLOUD BASE TEMPERATURE,CAMEX-4,,c4gmipmpr,ATMOSPHERE,CLOUDS,IN SITU LAND BASED
TCSP GOES 11 RAPID SCAN WINDS,GOES-11,GOES-11 IMAGER,VISIBLE RADIANCE,TCSP,,tcspgrsw,SPECTRAL/ENGINEERING,VISIBLE WAVELENGTHS,SATELLITE
TCSP GOES VISIBLE AND INFRARED IMAGES,GOES-12,GOES-12 IMAGER,INFRARED RADIANCE,TCSP,,tcspgoes,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,SATELLITE
CAMEX-4 GOES-8 PRODUCTS,GOES-8,GOES-8 IMAGER,VISIBLE RADIANCE,CAMEX-4,,c4sg8,SPECTRAL/ENGINEERING,VISIBLE WAVELENGTHS,SATELLITE
CAMEX-4 SHARED MOBILE ATMOSPHERIC RESEARCH AND TEACHING RADARS,SMART,DOPPLER RADAR,RADAR REFLECTIVITY,CAMEX-4,M-301,c4gsmart,SPECTRAL/ENGINEERING,RADAR,SATELLITE
CAMEX-3 LIGHTNING INSTRUMENT PACKAGE (LIP),NASA ER-2,LIP,ELECTRIC FIELD,CAMEX-3,M-269,er2lip,ATMOSPHERE,ATMOSPHERIC ELECTRICITY,AIRCRAFT
CAMEX-3 DC-8 METEOROLOGICAL MEASUREMENT SYSTEM (MMS),NASA DC-8,TEMPERATURE PROBES,AIR TEMPERATURE,CAMEX-3,,dc8mms,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,AIRCRAFT
