COLLECTION,DATASET_NAME,PROC_LEVEL,DS_START_DATE,DS_STOP_DATE,DS_N_LAT,DS_S_LAT,DS_W_LON,DS_E_LON,LOCATION,FORMAT,TEMP_RESOLUTION,SPATIAL_RESOLUTION,CONTACT,PHONE,INV_NAME,BROWSE_AVAIL,DIF,DS_COMMENTS,IMS_VISIBLE,DS_SHORT_NAME,DIF_ORIGIN,SDPN,RESTRICTED_COMMENTS,IMS_DATE,DS_FTP_URL,LOCAL_VISIBLE,LOCAL_DATE,TRANS_START_DATE,TRANS_STOP_DATE,TRANS_NEW_HOME,LAST_REVIEW_DATE,DISPLAY_DS_NAME,SPONSOR,CATALOG_NAME,SUB_INV,DP_VISIBLE,DP_DATE,DS_TYPE,DP_DIR_PATH,NAV_INV,NAV_DS,BR_FTP_PATH,DATA_LOC,SUBSET_AVAIL,VERSION,COORD_SYSTEM,GRANULE_SPATIAL_REPR,ECHOID,DP_START_DATE,DP_STOP_DATE,REGISTRATION,PERIODIC_UPDATE,INV_COORD,ENTERED,PUSH_LOCALPATH,PUSH_ENABLED,PUSH_DISABLEDBY,PUSH_DISABLEDON,PUSH_BECAUSE
CAMEX-4 Products,CAMEX-4 AEROSONDE,2,19-Aug-01,8-Sep-01,50,10,-100,-60,WESTERN ATLANTIC,MS EXCEL,1 FLIGHT,,GREGG HOLLAND,256-961-7932,CAMEX_INV,N,c4aaero,"The Aerosonde is an unmanned aerial vehicle with a wingspan of a 2.9 meters (~9 feet) weighing approximately 14 Kg (~31 lbs). Carrying a payload of air pressure, temperature and humidity probes, the aircraft can fly at altitudes from near the surface to 21,000 feet at speeds of 50-95 mph for periods of up to 30 hours. Controlled by dual computers and navigated by GPS, the Aerosonde is designed to economically collect meteorological data over a wide area.",Y,c4aaero,GHRC,M-305,,22-May-02,ftp://camextest.nsstc.nasa.gov/camex4/data/Aerosonde/,Y,22-May-02,,,,6-Jul-11,CAMEX-4 Aerosonde,CAMEX-4,,,,,,/ftp/public/camex4/Aerosonde/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,CAMEX-4 AEROSONDE V1,,,1,0,0,22-May-02,,,,,
CAMEX-4 Products,CAMEX-4 MISSION REPORTS,1B,3-Aug-01,24-Sep-01,50,10,-100,-60,ATLANTIC OCEAN,ASCII,DAILY,,ROBBIE HOOD,256-961-7932,CAMEX_INV,N,c4gmisrep,"The Convection And Moisture EXperiment (CAMEX)-4 Mission Reports were filed every day that an aircraft flew in support of the experiment. The reports include a short description of the day's mission, its objective, and notes.",Y,c4gmisrep,GHRC,,,20-Nov-02,ftp://camextest.nsstc.nasa.gov/camex4/datax4/Mission_Reports/,Y,18-Nov-02,,,,6-Jul-11,CAMEX-4 Mission Reports,CAMEX-4,,,,,,/ftp/public/camex4/Mission_Reports/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,CAMEX-4 MISSION REPORTS V1,,,1,0,0,18-Nov-02,,,,,
NAMMA Products,NAMMA CVI CLOUD CONDENSED WATER CONTENT,2,15-Aug-06,12-Sep-06,30,-5,-50,10,CAPE VERDE,ASCII,DAILY,,CYNTHIA TWOHY,541-737-5690,CAMEX_INV,Y,namcvi,"The counterflow virtual impactor (CVI) was used to measure condensed water content (liquid water or ice in particles about 8 microns in diameter and up) and cloud condensation nuclei (CCN) on the DC-8 during NAMMA. Water vapor is measured with a MayComm Tunable Diode Laser (TDL) hygrometer and non-volatile particles are examined with an optical particle counter, a condensation nuclei counter and an impactor for subsequent chemical analyses.",Y,namcvi,GHRC,,,1-Jun-06,http://namma.nsstc.nasa.gov/data.jsp,Y,31-May-07,,,,18-Jun-10,NAMMA CVI Cloud Condensed Water Content,NAMMA,,,,,,/ftp/public/namma/CVI/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,NAMMA CVI CLOUD CONDENSED WATER CONTENT V1,,,1,0,0,1-Jun-06,,,,,
NAMMA Products,NAMMA LIDAR ATMOSPHERIC SENSING EXPERIMENT (LASE),2,15-Aug-06,12-Sep-06,30,-5,-50,10,AFRICA,ASCII,DAILY,,EDWARD BROWELL,757-864-1273,CAMEX_INV,Y,namlase,"NASA's Lidar Atmospheric Sensing Experiment (LASE) system using the DIAL (Differential Absorption Lidar) system was operated during the NASA African Monsoon Multidisciplinary Analyses (NAMMA) campaign to gather water vapor mixing ratio and aerosol scattering ratio (815 nm) profiles. Other derived parameters include: relative humidity, equivalent potential temperature, virtual potential temperature, precipitable water vapor profiles, aerosol backscatter, aerosol extinction, and aerosol optical thickness profiles (815 nm). Aerosol data are reported as Atmospheric Scattering Ratios on a logarithmic scale. Water Vapor data are reported as mixing ratios (g/kg) on both a Linear and logarithmic scale. LASE was operated from the NASA DC-8 aircraft during 14 NAMMA campaign flights between August 15 and September 12, 2006.",Y,namlase,GHRC,,,1-Jun-06,http://namma.nsstc.nasa.gov/data.jsp,Y,31-May-07,,,,6-Jul-11,NAMMA Lidar Atmospheric Sensing Experiment (LASE),NAMMA,,CAMEX_SUB_INV,,,,/ftp/public/namma/LASE/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,NAMMA LIDAR ATMOSPHERIC SENSING EXPERIMENT (LASE) V1,,,1,0,0,1-Jun-06,,,,,
CAMEX-4 Products,CAMEX-4 NOAA WP-3D FLIGHT LEVEL DATA,1B,9-Sep-01,19-Sep-01,50,10,-100,-60,GULF OF MEXICO,BINARY,1 FLIGHT,,ROBERT BLACK,256-961-7932,CAMEX_INV,N,c4p3flt,"The NOAA WP-3D Orion aircraft collects numerous in-situ meteorological measurements along with navigation and aircraft state parameters during each flight (these data are similar to that collected with the NASA DC-8 ICATS  system). The WP-3D data are encoded on 8mm tape in what is called the 'AOC Standard Tape Format'. Examples of meteorological data include total temperature, dew point, liquid water content and dynamic pressure (from several sensors). Aircraft parameters include angle of attack, airspeed, slip angle, etc.",Y,c4p3flt,GHRC,,,11-Dec-02,,Y,9-Dec-02,,,,6-Jul-11,CAMEX-4 NOAA WP-3D Flight Level Data,CAMEX-4,,,,,,,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,CAMEX-4 NOAA WP-3D FLIGHT LEVEL DATA V1,,,0,0,0,9-Dec-02,,,,,
Passive Microwave Products,AMSU/MSU MIDTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE,3,1-Jan-78,,89,-89,-180,180,GLOBAL,ASCII,MONTHLY AVERAGE,2.5 DEGREE,JOHN CHRISTY,256-922-5763,MSU_INV,N,msut2,Global mid tropospheric temperatures are derived from a series of microwave sounding instruments flown on a series of satellites. Daily Zonal and Monthly Temperature Anomalies for the middle troposphere on a global 2.5 degree grid are derived from both the Advanced Microwave Sounding Unit (AMSU) channel 5 and from the Microwave Sounding Unit (MSU) channel 2 using the Limb 90 correction. The data set begins Jan 1 1979 and is ongoing.,Y,msut2,MSFC DAAC,M-16,,5-Oct-99,,Y,5-Oct-99,,,GHRC,18-Jun-13,AMSU/MSU MidTropo Day/Month Temp Anomalies and Annual Cycle,GHRC,MSU Limb 90 Data Sets,,,,,,,,,GHRC-LT01,N,5,CARTESIAN,CARTESIAN,AMSU/MSU MIDTROPO DAY/MONTH TEMP ANOMALIES AND ANNUAL CYCLE V5,,,0,1,0,5-Oct-99,,,,,
CAMEX-4 Products,CAMEX-4 HIGH ALTITUDE MMIC SOUNDING RADIOMETER (HAMSR),1B,18-Aug-01,24-Sep-01,50,10,-100,-60,WESTERN ATLANTIC,BINARY,DAILY,,BJORN LAMBRIGTSEN,256-961-7932,CAMEX_INV,N,c4ehamsr,"The High Altitude monolithic microwave integrated Circuit (MMIC) Sounding Radiometer (HAMSR) is a microwave atmospheric sounder recently developed by JPL under the NASA Instrument Incubator Program. Operating with 25 spectral channels in the 50-190 HGz region, it provides measurements that can be used to infer the 3-D distribution of temperature, water vapor, and liquid water in the atmosphere, even in the presence of clouds.  HAMSR was mounted in a wing pod of a NASA ER-2 research aircraft.",Y,c4ehamsr,GHRC,,,20-Nov-02,ftp://camextest.nsstc.nasa.gov/camex4/data/HAMSR/,Y,18-Nov-02,,,,15-Dec-09,CAMEX-4 High Altitude MMIC Sounding Radiometer (HAMSR),CAMEX-4,,,,,,/ftp/public/camex4/HAMSR/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,CAMEX-4 HIGH ALTITUDE MMIC SOUNDING RADIOMETER (HAMSR) V1,,,1,0,0,18-Nov-02,,,,,
CAMEX-4 Products,CAMEX-4 CVI CLOUD CONDENSED WATER CONTENT,2,6-Sep-01,10-Sep-01,50,10,-105,-50,WESTERN ATLANTIC,ASCII,1 FLIGHT,,CYNTHIA TWOHY,256-961-7932,CAMEX_INV,N,c4dcvi,The counterflow virtual impactor (CVI) was used to measure condensed water content (liquid water or ice in particles about 8 microns in diameter and up) and cloud condensation nuclei (CCN) on the DC-8 during CAMEX-4. Water content was measured after evaporation with a dual-wavelength Lyman-alpha hygrometer.,Y,c4dcvi,GHRC,,,15-Nov-02,ftp://camextest.nsstc.nasa.gov/camex4/data/CVI/,Y,13-Nov-02,,,,6-Jul-11,CAMEX-4 CVI Cloud Condensed Water Content,CAMEX-4,,,,,,/ftp/public/camex4/CVI/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,CAMEX-4 CVI CLOUD CONDENSED WATER CONTENT V1,,,1,0,0,13-Nov-02,,,,,
Lightning Products,TRMM-LBA LIGHTNING INSTRUMENT PACKAGE (LIP),1,23-Jan-99,23-Feb-99,6,-16,-76,-49,BRAZIL,HDF,DAILY,,RICHARD BLAKESLEE,256-961-7962,LITN_INV,Y,trmlbalip,"The ER-2 Lightning Instrument Package measures the electric field above, below, and around the aircraft. The ER-2 LIP consists of eight electric field mills, a conductivity probe, and the associated data system. One of the field mills is installed on the upper Q-bay hatch cover and the second one is mounted on the aft section of the Advanced Microwave Precipitation Radiometer (AMPR) fairing. Three mills are each located on the superpods: one on the top, two on the bottom. The conductivity probe is integrated in the right hand superpod nose cone. The ER-2 LIP data system is mounted in a 19 inch vertical rack located in the aft section of the ER-2 Q-bay. The ER-2 electric field mills and the conductivity probe are compact sensors, each weighing less than 5 lbs.",Y,trmlbalip,GHRC,,,27-Apr-01,,Y,27-Apr-01,,,,22-Nov-11,TRMM-LBA Lightning Instrument Package (LIP),Other Field Experiments,,,,,,/ftp/public/pub/data/lip/trmmlba,,,,GHRC-LT01,N,1,CARTESIAN,CARTESIAN,TRMM-LBA LIGHTNING INSTRUMENT PACKAGE (LIP) V1,,,1,0,0,27-Apr-01,,,,,
Radar Products,NAMMA TOGA RADAR DATA,1B,15-Aug-06,16-Sep-06,30,-5,-50,10,AFRICA,NETCDF,FLIGHT,150 m bin size,ROB CIFELLI,970-491-8516,CAMEX_INV,Y,namtoga,"This dataset consists of a collection of products derived from the NASA TOGA radar observations that were collected in the Republic of Cape Verde during the NAMMA campaign.  The NASA TOGA radar is a C-band scanning radar with a beam width of 1.65 degrees.  The radar was deployed on the southern tip of Sao Tiago (14.92N, 23.48W), the southern-most island in the Cape Verde islands.  The radar operated nearly continuously from 15 August through 16 September, 2006, collecting measurements of horizontal radar reflectivity (ZH), radial velocity (VR) and spectral width (SW).",Y,namtoga,GHRC,,,26-Oct-07,http://namma.nsstc.nasa.gov/data.jsp,Y,26-Oct-07,,,,6-Jul-11,NAMMA TOGA Radar Data,NAMMA,,,,,,/ftp/public/namma/Radar-TOGA/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,NAMMA TOGA RADAR DATA V1,,,1,0,0,26-Oct-07,,,,,
Passive Microwave Products,ADVANCED MICROWAVE SOUNDING UNIT-A (AMSU-A) SWATH FROM NOAA-16,2,27-May-01,4-Mar-08,89,-89,-180,180,GLOBAL,HDF-EOS,DAILY,16.7 km,Danny Braswell,256-961-7954,AMSU_INV,N,amsua16sp,"AMSU-A,the Advanced Microwave Sounding Unit, is a 15-channel passive microwave radiometer used to profile atmospheric temperature and moisture from the earth's surface to ~45 km (3 millibars).  All orbits beginning in the day (00:00:00 - 23:59:59 UTC) are stored in one daily HDF-EOS file.  There are 15 (channel) arrays, as well as corresponding Latitude, Longitude, and Time.  Each daily file is compressed (gzip).",Y,amsua16sp,GHRC,,,13-Jul-01,,Y,12-Jul-01,,,,8-Feb-13,Advanced Microwave Sounding Unit-A (AMSU-A) Swath from NOAA-16,GHRC,Advanced Microwave Sounding Unit (AMSU-A) Swath Data Sets,AMSU_SUB_INV,Y,,Swath,/ftp/public/pub/data/amsu-a/noaa-16/,,,,GHRC-LT01,Y,1,CARTESIAN,CARTESIAN,ADVANCED MICROWAVE SOUNDING UNIT-A (AMSU-A) SWATH FROM NOAA-16 V1,,,0,0,0,12-Jul-01,,,,,
Lightning Products,LIS/OTD 0.5 DEGREE HIGH RESOLUTION FULL CLIMATOLOGY (HRFC),3,4-May-95,31-Dec-12,90,-90,-180,180,GLOBAL,HDF,CLIMATOLOGY,0.5 deg,Dan Cecil,256-961-7909,LITN_INV,N,lohrfc,"The product is a 0.5 deg x 0.5 deg gridded composite of total (IC+CG) lightning bulk production, expressed as a flash rate density (fl/km2/yr).  Climatologies from the OTD and LIS missions are included, as well as a combined OTD+LIS climatology and supporting base data (flash counts and viewing times).  Best-available detection efficiency corrections and instrument cross normalizations, as of the product generation date (09/01/06), have been applied.",Y,lohrfc,GHRC,M-288,,24-Aug-01,ftp://ghrctest.nsstc.nasa.gov/pub/data/lis/lis-otd-climatology/HRFC/,Y,17-Aug-01,,,,28-Oct-13,LIS/OTD 0.5 Degree High Resolution Full Climatology (HRFC),LIS SCF,,,,,,/ftp/public/pub/lis/climatology/HRFC/data/,,,,GHRC-LT01,N,2.3.2013,CARTESIAN,CARTESIAN,LIS/OTD 0.5 DEGREE HIGH RESOLUTION FULL CLIMATOLOGY (HRFC) V2.3.2013,,,0,0,0,17-Aug-01,,,,,
Lightning Products,LIS/OTD 2.5 DEGREE LOW RESOLUTION FULL CLIMATOLOGY (LRFC),3,4-May-95,31-Dec-12,90,-90,-180,180,GLOBAL,HDF,CLIMATOLOGY,2.5 deg,Dan Cecil,256-961-7909,LITN_INV,N,lolrfc,"The product is a 2.5 deg x 2.5 deg gridded composite of total (IC+CG) lightning bulk production, expressed as a flash rate density (fl/km2/yr).  Climatologies from the OTD and LIS missions are included, as well as a combined OTD+LIS climatology and supporting base data (flash counts and viewing times).  Best-available detection efficiency corrections and instrument cross normalizations have been applied.",Y,lolrfc,GHRC,M-287,,24-Aug-01,ftp://ghrctest.nsstc.nasa.gov/pub/data/lis/lis-otd-climatology/LRFC/,Y,17-Aug-01,,,,28-Oct-13,LIS/OTD 2.5 Degree Low Resolution Full Climatology (LRFC),LIS SCF,,,,,,/ftp/public/pub/lis/climatology/LRFC/data/,,,,GHRC-LT01,N,2.3.2013,CARTESIAN,CARTESIAN,LIS/OTD 2.5 DEGREE LOW RESOLUTION FULL CLIMATOLOGY (LRFC) V2.3.2013,,,0,0,0,17-Aug-01,,,,,
Lightning Products,LIS/OTD 2.5 DEGREE LOW RESOLUTION ANNUAL CLIMATOLOGY (LRAC),3,4-May-95,31-Dec-12,90,-90,-180,180,GLOBAL,HDF,DAILY CLIMATOLOGY,2.5degX2.5degX1day,Dan Cecil,256-961-7909,LITN_INV,N,lolrac,"The product is a 2.5 deg x 2.5 deg gridded composite of climatological total (IC+CG) lightning bulk production as a function of day of year, expressed as a flash rate density (fl/km2/day).  Climatologies from the OTD and LIS missions are included, as well as a combined OTD+LIS climatology and supporting base data (flash counts and viewing times).  Best-available detection efficiency corrections and instrument cross normalizations have been applied.",Y,lolrac,GHRC,M-289,,24-Aug-01,ftp://ghrctest.nsstc.nasa.gov/pub/data/lis/lis-otd-climatology/LRAC/,Y,17-Aug-01,,,,28-Oct-13,LIS/OTD 2.5 Degree Low Resolution Annual Climatology (LRAC),LIS SCF,,,,,,/ftp/public/pub/lis/climatology/LRAC/data/,,,,GHRC-LT01,N,2.3.2013,CARTESIAN,CARTESIAN,LIS/OTD 2.5 DEGREE LOW RESOLUTION ANNUAL CLIMATOLOGY (LRAC) V2.3.2013,,,0,0,0,17-Aug-01,,,,,
Lightning Products,LIS/OTD 2.5 DEGREE LOW RESOLUTION DIURNAL CLIMATOLOGY (LRDC),3,4-May-95,31-Dec-12,90,-90,-180,180,GLOBAL,HDF,LOCAL HR CLIMATOLOGY,2.5degX2.5degX1lochr,Dan Cecil,256-961-7909,LITN_INV,N,lolrdc,"The product is a 2.5 deg x 2.5 deg gridded composite of climatological total (IC+CG) lightning bulk production as a function of local hour, expressed as a flash rate density (fl/km2/hr).  Climatologies from the OTD and LIS missions are included, as well as a combined OTD+LIS climatology and supporting base data (flash counts and viewing times).  Best-available detection efficiency corrections and instrument cross normalizations have been applied.",Y,lolrdc,GHRC,M-290,,24-Aug-01,ftp://ghrctest.nsstc.nasa.gov/pub/data/lis/lis-otd-climatology/LRDC/,Y,17-Aug-01,,,,28-Oct-13,LIS/OTD 2.5 Degree Low Resolution Diurnal Climatology (LRDC),LIS SCF,,,,,,/ftp/public/pub/lis/climatology/LRDC/data/,,,,GHRC-LT01,N,2.3.2013,CARTESIAN,CARTESIAN,LIS/OTD 2.5 DEGREE LOW RESOLUTION DIURNAL CLIMATOLOGY (LRDC) V2.3.2013,,,0,0,0,17-Aug-01,,,,,
TC4 Products,TC4 AMPR BRIGHTNESS TEMPERATURE (TB),1B,19-Jul-07,8-Aug-07,18,-7,-94,-75,COSTA RICA,ASCII,FLIGHT,n/a,FRANK LAFONTAINE,,CLIMAT_INV,Y,tc4ampr,"The Tropical Composition, Cloud and Climate Coupling (TC4) mission TC4 field experiment was completed during July and August 2007 based out of San Jose, Costa Rica.  The Advanced Microwave Precipitation Radiometer (AMPR) instrument played a key role in the experiment.  The AMPR remotely senses passive microwave signatures of geophysical parameters from an airborne platform.  The instrument is a low noise system which can provide multi-frequency microwave imagery with high spatial and temporal resolution.  AMPR data were collected at a combination of frequencies (10.7, 19.35, 37.1, and 85.5 GHz) unique to current NASA aircraft instrumentation.  These frequencies are well suited to the study of rain cloud systems, but are also useful to studies of various ocean and land surface processes.",Y,tc4ampr,GHRC,,,27-Feb-08,,Y,22-Feb-08,,,,30-Nov-11,TC4 AMPR Brightness Temperature (TB),TC4,,,,,,/ftp/public/pub/data/ampr/tc4/,,,,GHRC-LT01,N,1,CARTESIAN,CARTESIAN,TC4 AMPR BRIGHTNESS TEMPERATURE (TB) V1,,,1,0,0,22-Feb-08,,,,,
CAMEX-4 Products,CAMEX-4 DUAL-BEAM UV-ABSORPTION OZONE PHOTOMETER,1B,9-Aug-01,26-Sep-01,50,10,-100,-60,WESTERN ATLANTIC,ASCII,DAILY,200 METERS,ERIK C RICHARD,256-961-7932,CAMEX_INV,N,c4eo3p,"Ozone is measured in situ using a photometer consisting of a mercury lamp, two sample chambers that can be peridically scrubbed of ozone, and two detectors that measure the 254-nm radtion transmitted through the chamber from the lamp. The ozone number density is calculated using the ozone absorption cross-section at 254-nm and the Beer-Lambert Law. The one second data collection rate the minimum detectable concentration of ozone (one sigma) is 1.5 x 1010 molecules/cm3.",Y,c4eo3p,GHRC,M-296,,27-Mar-02,ftp://camextest.nsstc.nasa.gov/camex4/data/NOAA_O3/,Y,27-Mar-02,,,,6-Jul-11,CAMEX-4 Dual-Beam UV-Absorption Ozone Photometer,CAMEX-4,,,,,,/ftp/public/camex4/NOAA_O3/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,CAMEX-4 DUAL-BEAM UV-ABSORPTION OZONE PHOTOMETER V1,,,1,0,0,27-Mar-02,,,,,
ACES Products,ACES CONTINUOUS DATA,1B,10-Jul-02,30-Aug-02,26,23,-85,-81,POINT LOCATIONS,BINARY,DAILY,N/A,DOUG MACH,256-961-7830,ACES_INV,N,aces1cont,"The ALTUS Cloud Electrification Study (ACES) was Based at the Naval Air Facility Key West in Florida.  ACES researchers in August 2002 conducted overflights of thunderstorms over the southwestern corner of Florida.  For the first time in NASA research an uninhabited aerial vehicle (UAV) named ALTUS was used to collect cloud electrification data.  Carrying field mills, optical sensors, electric field sensors and other instruments, it allowed scientists to collect cloud electrification data for the first time from above the storm from it's birth through dissipation. This experiment allowed scientists to achieve the dual goals of gathering weather data safely, and testing new aircraft technology. This dataset consists of data collected from seven instruments: the Slow/Fast antenna, Electric Field Mill, Dual Optical Pulse Sensor, Searchcoil magnetometer, Accelerometers, Gerdien Conductivity Prove, and the Fluxgate Magnetometer. Data consists of sensor reads at 50HZ throughout the flight from all 64 channels.",Y,aces1cont,GHRC,,,4-May-04,,Y,5-May-04,,,,30-Nov-11,ACES Continuous Data,ACES,,,,,,/ftp/public/pub/data/aces/continuous/,,,,GHRC-LT01,N,1,CARTESIAN,CARTESIAN,ACES CONTINUOUS DATA V1,,,1,0,0,4-May-04,,,,,
CAMEX-4 Products,CAMEX-4 DC-8 INFORMATION COLLECTION AND TRANSMISSION SYSTEM,1B,3-Aug-01,24-Sep-01,50,10,-100,-60,CARRIBEAN,ASCII,DAILY,,JOHN MCGRATHr,256-961-7932,CAMEX_INV,N,c4dicats,"The Camex-4 DC-8 Information Collection and Transmission System (ICATS) is designed to:  1) interface and process avionics and environmental paramaters from the Navigational Management System, GPS, Central Air Data Computer, Embedded GPS/INS, and analog voltage sources from aircraft and experimenters,  2) Furnish engineering unit values of selected parameters and computed functions for real-time video display, and archive ASCII data at experimenter stations,  3) Archive engineering unit values of 'Appendix A' (to the ICATS document included with dataset documentation) on data storage for post flight retrieval.",Y,c4dicats,GHRC,M-291,,8-Feb-02,ftp://camextest.nsstc.nasa.gov/camex4/data/NAV_DC-8/,Y,31-Jan-02,,,,6-Jul-11,CAMEX-4 DC-8 Information Collection and Transmission System,CAMEX-4,,,,,,/ftp/public/camex4/NAV_DC-8/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,CAMEX-4 DC-8 INFORMATION COLLECTION AND TRANSMISSION SYSTEM V1,,,1,0,0,31-Jan-02,,,,,
CAMEX-4 Products,CAMEX-4 DC-8 DROPSONDE SYSTEM,2,18-Aug-01,24-Sep-01,50,10,-100,-60,WESTERN ATLANTIC,ASCII/JPG,DAILY,,JEFFERY HALVERSON,256-961-7932,CAMEX_INV,N,c4dd8d,"The DC-8 Dropsonde System (D8D) uses dropwinsonde and Global Positioning System (GPS) receivers to measure the atmospheric state parameters (temp, humidity, windspeed/direction pressure) and location in 3 dimensional space during the sonde's descent once each half second. Measurements are transmitted to the aircraft from the time of release until impact with the ocean's surface.",Y,c4dd8d,GHRC,M-292,,1-Mar-02,ftp://camextest.nsstc.nasa.gov/camex4/data/Dropsonde_DC-8/,Y,22-Feb-02,,,,6-Jul-11,CAMEX-4 DC-8 Dropsonde System,CAMEX-4,,,,,,/ftp/public/camex4/Dropsonde_DC-8/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,CAMEX-4 DC-8 DROPSONDE SYSTEM V1,,,1,0,0,22-Feb-02,,,,,
NAMMA Products,NAMMA TWO-DIMENSIONAL STEREO PROBE AND CLOUD PARTICLE IMAGER,2,19-Aug-06,12-Sep-06,30,-5,-50,10,CAPE VERDE,ASCII,DAILY,,PAUL LAWSON,303-449-1105,CAMEX_INV,Y,nam2ds,"This Cloud Microphysics dataset consists of data from two probes used to measure the size, shape, and concentration of cloud particles; the two-dimensional stereo probe (2D-S), and the cloud particle imager (CPI). Both of these probes measure particle size distributions and derives extinction, particle concentration, ice water content and particle shape. Both probes provide hi-resolution black and white images of cloud particles.",Y,nam2ds,GHRC,,,1-Jun-06,http://namma.nsstc.nasa.gov/data.jsp,Y,31-May-07,,,,18-Jun-10,NAMMA Two-Dimensional Stereo Probe and Cloud Particle Imager,NAMMA,,CAMEX_SUB_INV,,,,/ftp/public/namma/2DS-CPI/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,NAMMA TWO-DIMENSIONAL STEREO PROBE AND CLOUD PARTICLE IMAGER V1,,,1,0,0,1-Jun-06,,,,,
NAMMA Products,NAMMA CARBON MONOXIDE BY ATTENUATED LASER TRANSMISSION (COBALT),2,7-Aug-06,12-Sep-06,30,-5,-50,10,AFRICA,ASCII,FLIGHT,,GLENN DISKIN,757-864-6268,CAMEX_INV,N,namcobalt,The NAMMA COBALT dataset measures the carbon monoxide mixing ratio and derives carbon monoxide mixing ratio profiles in the upper troposphere/lower stratosphere using an in-situ laser absorption spectrometer.,Y,namcobalt,GHRC,,,1-Jun-06,http://namma.nsstc.nasa.gov/data.jsp,Y,31-May-07,,,,6-Jul-11,NAMMA Carbon mOnoxide By Attenuated Laser Transmission (COBALT),NAMMA,,,,,,/ftp/public/namma/COBALT/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,NAMMA CARBON MONOXIDE BY ATTENUATED LASER TRANSMISSION (COBALT) V1,,,1,0,0,1-Jun-06,,,,,
NAMMA Products,NAMMA MODIS/AQUA AND MODIS/TERRA DEEP BLUE PRODUCTS,2,13-Aug-06,30-Sep-06,30,-5,-50,10,AFRICA,"JPG,GIF",FLIGHT,,JEREMEY WARNER,301-867-2176,CAMEX_INV,Y,namdblue,The NAMMA Deep Blue dataset is a collection of images depicting the aerosol optical depth from the MODIS deep blue algorithm from both AQUA and TERRA satellites.  Additional imagery includes the RGB and Angstrom Exponent.,Y,namdblue,GHRC,,,1-Jun-06,http://namma.nsstc.nasa.gov/data.jsp,Y,31-May-07,,,,6-Jul-11,NAMMA MODIS/AQUA and MODIS/TERRA Deep Blue Products,NAMMA,,CAMEX_SUB_INV,,,,/ftp/public/namma/Deep-Blue/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,NAMMA MODIS/AQUA AND MODIS/TERRA DEEP BLUE PRODUCTS V1,,,1,0,0,1-Jun-06,,,,,
TC4 Products,TC4 COSTA RICA LIGHTNING,3,1-Jul-07,31-Aug-07,18,-7,-94,-75,COSTA RICA,TEXT,DAILY,N/A,RICH BLAKESLEE,256-961-7962,CLIMAT_INV,N,tc4crlit,"The Tropical Composition, Cloud and Climate Coupling (TC4) mission TC4 field experiment was completed during July and August 2007 based out of San Jose, Costa Rica.  These lightning data were collected during the NASA TC4 field campaign and are restricted to the TC4 community.",Y,tc4crlit,GHRC,,"Distribution of this data set is restricted to the TC4 science community and must be approved by the PI, Dr. Rich Blakeslee.",23-Apr-09,,Y,23-Apr-09,,,,1-Jul-10,TC4 Costa Rica Lightning,TC4,,,,,,,,,,GHRC,N,1,CARTESIAN,CARTESIAN,TC4 COSTA RICA LIGHTNING V1,,,0,0,0,23-Apr-09,,,,,
Passive Microwave Products,AMPR JACKSONVILLE BRIGHTNESS TEMPERATURE (TB),1B,10-Oct-90,19-Oct-90,39.88,26.38,-123.98,-77.28,GULF OF MEXICO,ASCII,DAILY,,FRANK LAFONTAINE,256-922-5796,CLIMAT_INV,Y,amprtbjax,"The Advanced Microwave Precipitation Radiometer (AMPR) was deployed in Jacksonville, FL for the initial AMPR instrument validation. AMPR data were collected at four microwave frequencies (10.7, 19.35, 37.1 and 85.5 GHz) for the period of 21 September 1999 through 22 October 1999. The Jacksonville mission was to study convection over land and ocean for validation along with clear (dry) vertical columns of atmosphere over the ocean for calibration.",Y,amprtbjax,GHRC,M-259,,23-Jul-99,,Y,23-Jul-99,,,,13-Nov-13,AMPR Jacksonville Brightness Temperature (TB),Other Field Experiments,Advanced Microwave Precipitation Radiometer (AMPR) Data Sets,,,,,/ftp/public/ampr/jacksonville/data/,,,,GHRC-FC02,N,2,CARTESIAN,CARTESIAN,AMPR JACKSONVILLE BRIGHTNESS TEMPERATURE (TB) V2,,,1,0,0,23-Jul-99,,,,,
